HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.387595 0.998780 0.001511 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.388094 0.999292 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.388596 0.998083 0.001514 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.389098 0.997816 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.389602 0.999045 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.390106 1.002693 0.001540 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.390613 1.001748 0.001527 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.391131 0.999247 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.391679 1.002005 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.392227 0.998851 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.392737 0.997183 0.001513 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.393253 1.000923 0.001526 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.393772 0.999650 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.394291 1.000624 0.001537 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.394811 0.998469 0.001544 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.395333 1.003165 0.001547 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.395858 0.999664 0.001545 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.396390 0.997727 0.001547 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.396914 1.001641 0.001545 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.397443 1.002563 0.001543 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.397974 0.998557 0.001541 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.398499 1.001543 0.001542 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.399030 0.999619 0.001545 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.399568 1.000207 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.400104 0.999007 0.001543 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.400644 0.999253 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.401190 0.998948 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.401730 0.998087 0.001536 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.402276 0.999231 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.402815 1.003349 0.001541 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.403360 1.001884 0.001550 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.403916 0.997583 0.001529 
